frame_no,timestamp_sec,track_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,count_mode,event_type,line_index,counted,motion_state,avg_per_frame,displacement,moving,in_roi
1,0.0333,1,person,0.8461,748,399,766,438,757.0,418.5,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
1,0.0333,10,person,0.6263,1722,231,1735,254,1728.5,242.5,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
1,0.0333,20,truck,0.5199,705,515,827,638,766.0,576.5,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
2,0.0667,1,person,0.8473,748,399,766,438,757.0,418.5,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
2,0.0667,10,person,0.6032,1722,231,1735,254,1728.5,242.5,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
2,0.0667,20,truck,0.7437,704,514,827,638,765.5,576.0,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
3,0.1,1,person,0.8517,748,399,766,438,757.0,418.5,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
3,0.1,10,person,0.5721,1722,231,1735,254,1728.5,242.5,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
3,0.1,20,truck,0.5762,703,514,827,638,765.0,576.0,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
4,0.1333,1,person,0.8474,748,399,766,438,757.0,418.5,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
4,0.1333,10,person,0.5828,1722,231,1735,254,1728.5,242.5,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
4,0.1333,20,truck,0.5936,702,513,827,638,764.5,575.5,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
4,0.1333,37,car,0.5857,1327,606,1509,669,1418.0,637.5,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
4,0.1333,38,truck,0.5451,698,500,1143,639,920.5,569.5,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
5,0.1667,1,person,0.8435,749,399,766,438,757.5,418.5,multiline,none,-1,False,recently_moving,0.05,0.17,True,True
5,0.1667,10,person,0.5921,1723,231,1735,254,1729.0,242.5,multiline,none,-1,False,recently_moving,0.05,0.17,True,True
5,0.1667,20,truck,0.5433,700,513,828,638,764.0,575.5,multiline,none,-1,False,recently_moving,0.37,1.44,True,True
5,0.1667,37,car,0.6889,1327,606,1511,669,1419.0,637.5,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
5,0.1667,38,truck,0.4637,697,499,1142,639,919.5,569.0,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
6,0.2,1,person,0.8441,749,398,766,438,757.5,418.0,multiline,none,-1,False,recently_moving,0.08,0.34,True,True
6,0.2,10,person,0.3911,1723,231,1735,254,1729.0,242.5,multiline,none,-1,False,recently_moving,0.07,0.28,True,True
6,0.2,20,truck,0.353,699,513,828,639,763.5,576.0,multiline,none,-1,False,recently_moving,0.38,1.81,True,True
6,0.2,37,car,0.4349,1326,605,1513,669,1419.5,637.0,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
6,0.2,38,truck,0.6543,696,499,1139,639,917.5,569.0,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
7,0.2333,1,person,0.8383,749,398,766,438,757.5,418.0,multiline,none,-1,False,recently_moving,0.09,0.47,True,True
7,0.2333,10,person,0.2559,1724,230,1735,254,1729.5,242.0,multiline,none,-1,False,recently_moving,0.11,0.57,True,True
7,0.2333,20,truck,0.3402,697,512,828,639,762.5,575.5,multiline,none,-1,False,recently_moving,0.43,2.45,True,True
7,0.2333,37,car,0.3611,1324,605,1514,669,1419.0,637.0,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
7,0.2333,38,truck,0.4473,695,499,1138,639,916.5,569.0,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
8,0.2667,1,person,0.8294,750,398,766,437,758.0,417.5,multiline,none,-1,False,recently_moving,0.13,0.81,True,True
8,0.2667,20,truck,0.3397,695,513,828,640,761.5,576.5,multiline,none,-1,False,recently_moving,0.48,3.13,True,True
8,0.2667,37,car,0.4689,1323,605,1514,669,1418.5,637.0,multiline,none,-1,False,recently_moving,0.27,0.81,True,True
8,0.2667,38,truck,0.5507,693,499,1138,639,915.5,569.0,multiline,none,-1,False,recently_moving,0.81,3.23,True,True
9,0.3,1,person,0.8351,750,397,767,437,758.5,417.0,multiline,none,-1,False,recently_moving,0.17,1.28,True,True
9,0.3,37,car,0.6279,1320,605,1513,669,1416.5,637.0,multiline,none,-1,False,recently_moving,0.37,0.43,True,True
9,0.3,38,truck,0.574,693,499,1136,640,914.5,569.5,multiline,none,-1,False,recently_moving,0.85,4.19,True,True
10,0.3333,1,person,0.8287,751,397,768,436,759.5,416.5,multiline,none,-1,False,recently_moving,0.23,1.95,True,True
10,0.3333,37,car,0.5203,1318,604,1513,669,1415.5,636.5,multiline,none,-1,False,recently_moving,0.46,1.12,True,True
10,0.3333,38,truck,0.6659,692,499,1133,640,912.5,569.5,multiline,none,-1,False,recently_moving,0.93,5.52,True,True
11,0.3667,1,person,0.8454,752,397,768,436,760.0,416.5,multiline,none,-1,False,recently_moving,0.26,2.53,True,True
11,0.3667,37,car,0.5573,1317,602,1512,669,1414.5,635.5,multiline,none,-1,False,recently_moving,0.54,2.13,True,True
11,0.3667,38,truck,0.5021,692,499,1130,640,911.0,569.5,multiline,none,-1,False,recently_moving,1.0,6.92,True,True
12,0.4,1,person,0.8551,752,396,769,436,760.5,416.0,multiline,none,-1,False,recently_moving,0.3,3.15,True,True
12,0.4,37,car,0.5461,1315,600,1511,668,1413.0,634.0,multiline,none,-1,False,recently_moving,0.64,3.52,True,True
12,0.4,38,truck,0.3465,690,499,1127,640,908.5,569.5,multiline,none,-1,False,recently_moving,1.09,8.69,True,True
13,0.4333,1,person,0.8555,753,396,769,435,761.0,415.5,multiline,none,-1,False,recently_moving,0.35,3.79,True,True
13,0.4333,37,car,0.6629,1312,598,1510,668,1411.0,633.0,multiline,none,-1,False,recently_moving,0.76,5.2,True,True
13,0.4333,38,truck,0.4053,692,499,1124,641,908.0,570.0,multiline,none,-1,False,recently_moving,1.12,10.02,True,True
14,0.4667,1,person,0.8509,754,396,770,435,762.0,415.5,multiline,none,-1,False,recently_moving,0.42,4.51,True,True
14,0.4667,37,car,0.5806,1310,596,1510,667,1410.0,631.5,multiline,none,-1,False,recently_moving,0.85,6.87,True,True
14,0.4667,38,truck,0.4226,692,499,1120,641,906.0,570.0,multiline,none,-1,False,recently_moving,1.17,11.58,True,True
15,0.5,1,person,0.8516,754,395,770,435,762.0,415.0,multiline,none,-1,False,recently_moving,0.47,5.08,True,True
15,0.5,37,car,0.6783,1307,594,1510,667,1408.5,630.5,multiline,none,-1,False,recently_moving,0.93,8.59,True,True
15,0.5,38,truck,0.4205,692,499,1117,642,904.5,570.5,multiline,none,-1,False,recently_moving,1.2,13.13,True,True
16,0.5333,1,person,0.8405,755,395,771,434,763.0,414.5,multiline,none,-1,False,recently_moving,0.52,5.68,True,True
16,0.5333,37,car,0.471,1304,592,1509,667,1406.5,629.5,multiline,none,-1,False,recently_moving,1.07,10.77,True,True
16,0.5333,38,truck,0.5272,691,499,1115,642,903.0,570.5,multiline,none,-1,False,recently_moving,1.31,14.32,True,True
16,0.5333,59,truck,0.4884,0,557,22,614,11.0,585.5,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
17,0.5667,1,person,0.8494,755,395,771,434,763.0,414.5,multiline,none,-1,False,recently_moving,0.55,5.99,True,True
17,0.5667,37,car,0.2742,1301,591,1508,668,1404.5,629.5,multiline,none,-1,False,recently_moving,1.2,12.84,True,True
17,0.5667,38,truck,0.469,689,499,1113,643,901.0,571.0,multiline,none,-1,False,recently_moving,1.38,15.11,True,True
17,0.5667,59,truck,0.5278,0,556,22,614,11.0,585.0,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
18,0.6,1,person,0.8403,755,395,772,434,763.5,414.5,multiline,none,-1,False,recently_moving,0.58,6.34,True,True
18,0.6,38,truck,0.5624,687,499,1112,643,899.5,571.0,multiline,none,-1,False,recently_moving,1.44,15.8,True,True
18,0.6,59,truck,0.3904,0,556,22,615,11.0,585.5,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
19,0.6333,1,person,0.8392,756,395,772,434,764.0,414.5,multiline,none,-1,False,recently_moving,0.6,6.48,True,True
19,0.6333,38,truck,0.5913,684,499,1111,644,897.5,571.5,multiline,none,-1,False,recently_moving,1.51,16.62,True,True
19,0.6333,59,truck,0.4262,0,555,23,616,11.5,585.5,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
19,0.6333,37,car,0.4953,1298,591,1504,668,1401.0,629.5,multiline,none,-1,False,recently_moving,1.4,15.15,True,True
20,0.6667,1,person,0.8305,756,395,772,434,764.0,414.5,multiline,none,-1,False,recently_moving,0.58,6.33,True,True
20,0.6667,38,truck,0.4699,680,498,1111,644,895.5,571.0,multiline,none,-1,False,recently_moving,1.59,17.46,True,True
20,0.6667,59,truck,0.6066,0,555,24,618,12.0,586.5,multiline,none,-1,False,recently_moving,0.22,0.53,True,True
20,0.6667,37,car,0.395,1296,592,1500,668,1398.0,630.0,multiline,none,-1,False,recently_moving,1.63,17.38,True,True
21,0.7,1,person,0.8223,757,395,773,434,765.0,414.5,multiline,none,-1,False,recently_moving,0.57,6.17,True,True
21,0.7,38,truck,0.4051,676,498,1111,644,893.5,571.0,multiline,none,-1,False,recently_moving,1.64,18.01,True,True
21,0.7,59,truck,0.6957,0,554,26,619,13.0,586.5,multiline,none,-1,False,recently_moving,0.29,1.12,True,True
21,0.7,37,car,0.3757,1293,593,1496,668,1394.5,630.5,multiline,none,-1,False,recently_moving,1.82,19.29,True,True
22,0.7333,1,person,0.8067,757,395,774,434,765.5,414.5,multiline,none,-1,False,recently_moving,0.56,6.07,True,True
22,0.7333,38,truck,0.5692,669,499,1108,644,888.5,571.5,multiline,none,-1,False,recently_moving,1.78,19.6,True,True
22,0.7333,59,truck,0.6942,0,554,29,621,14.5,587.5,multiline,none,-1,False,recently_moving,0.41,2.13,True,True
22,0.7333,37,car,0.6589,1290,593,1492,668,1391.0,630.5,multiline,none,-1,False,recently_moving,2.02,21.32,True,True
23,0.7667,1,person,0.7905,758,395,774,434,766.0,414.5,multiline,none,-1,False,recently_moving,0.55,5.93,True,True
23,0.7667,38,truck,0.5298,661,499,1104,643,882.5,571.0,multiline,none,-1,False,recently_moving,1.99,21.85,True,True
23,0.7667,59,truck,0.4118,0,554,31,622,15.5,588.0,multiline,none,-1,False,recently_moving,0.5,3.19,True,True
23,0.7667,37,car,0.7548,1288,594,1488,668,1388.0,631.0,multiline,none,-1,False,recently_moving,2.21,23.2,True,True
24,0.8,1,person,0.7837,758,395,774,434,766.0,414.5,multiline,none,-1,False,recently_moving,0.53,5.64,True,True
24,0.8,38,truck,0.4904,651,499,1100,643,875.5,571.0,multiline,none,-1,False,recently_moving,2.33,25.56,True,True
24,0.8,59,truck,0.6971,0,549,35,622,17.5,585.5,multiline,none,-1,False,recently_moving,0.62,4.22,True,True
24,0.8,37,car,0.7842,1286,594,1485,668,1385.5,631.0,multiline,none,-1,False,recently_moving,2.34,24.7,True,True
25,0.8333,1,person,0.7864,758,394,775,433,766.5,413.5,multiline,none,-1,False,recently_moving,0.51,5.38,True,True
25,0.8333,38,truck,0.6105,643,499,1097,642,870.0,570.5,multiline,none,-1,False,recently_moving,2.66,29.22,True,True
25,0.8333,59,truck,0.6307,0,546,39,622,19.5,584.0,multiline,none,-1,False,recently_moving,0.75,5.65,True,True
25,0.8333,37,car,0.7917,1284,594,1482,667,1383.0,630.5,multiline,none,-1,False,recently_moving,2.44,25.86,True,True
26,0.8667,1,person,0.7873,759,394,775,433,767.0,413.5,multiline,none,-1,False,recently_moving,0.5,5.34,True,True
26,0.8667,38,truck,0.5745,641,499,1094,642,867.5,570.5,multiline,none,-1,False,recently_moving,2.91,31.93,True,True
26,0.8667,59,truck,0.7072,0,543,43,623,21.5,583.0,multiline,none,-1,False,recently_moving,0.87,7.41,True,True
26,0.8667,37,car,0.7924,1282,593,1479,667,1380.5,630.0,multiline,none,-1,False,recently_moving,2.53,27.1,True,True
27,0.9,1,person,0.8109,759,394,775,432,767.0,413.0,multiline,none,-1,False,recently_moving,0.47,4.99,True,True
27,0.9,38,truck,0.7581,635,499,1092,642,863.5,570.5,multiline,none,-1,False,recently_moving,3.15,34.55,True,True
27,0.9,59,truck,0.5026,0,539,47,623,23.5,581.0,multiline,none,-1,False,recently_moving,0.99,9.43,True,True
27,0.9,37,car,0.8563,1280,592,1476,666,1378.0,629.0,multiline,none,-1,False,recently_moving,2.61,28.27,True,True
27,0.9,70,person,0.4189,300,490,319,527,309.5,508.5,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
28,0.9333,1,person,0.8133,760,393,776,432,768.0,412.5,multiline,none,-1,False,recently_moving,0.48,5.12,True,True
28,0.9333,38,truck,0.7105,628,499,1089,642,858.5,570.5,multiline,none,-1,False,recently_moving,3.4,37.33,True,True
28,0.9333,59,car,0.7495,0,536,51,623,25.5,579.5,multiline,none,-1,False,recently_moving,1.18,11.53,True,True
28,0.9333,37,car,0.8061,1277,591,1474,666,1375.5,628.5,multiline,none,-1,False,recently_moving,2.68,29.21,True,True
28,0.9333,70,person,0.6511,299,490,319,527,309.0,508.5,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
29,0.9667,1,person,0.8276,760,393,776,432,768.0,412.5,multiline,none,-1,False,recently_moving,0.48,5.04,True,True
29,0.9667,38,truck,0.657,624,499,1087,642,855.5,570.5,multiline,none,-1,False,recently_moving,3.61,39.66,True,True
29,0.9667,59,truck,0.4428,0,534,55,623,27.5,578.5,multiline,none,-1,False,recently_moving,1.39,13.74,True,True
29,0.9667,37,car,0.8075,1275,590,1470,665,1372.5,627.5,multiline,none,-1,False,recently_moving,2.76,30.2,True,True
29,0.9667,70,person,0.7042,299,490,319,527,309.0,508.5,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
