frame_no,timestamp_sec,track_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,count_mode,event_type,line_index,counted
1,0.0334,1,person,0.7906,188,483,226,551,207.0,517.0,multiline,none,-1,False
1,0.0334,2,person,0.7264,484,437,505,491,494.5,464.0,multiline,none,-1,False
1,0.0334,3,person,0.6336,587,407,606,457,596.5,432.0,multiline,none,-1,False
1,0.0334,4,person,0.5296,0,479,22,611,11.0,545.0,multiline,none,-1,False
1,0.0334,5,person,0.5213,633,409,656,456,644.5,432.5,multiline,none,-1,False
1,0.0334,6,person,0.5143,767,383,785,428,776.0,405.5,multiline,none,-1,False
1,0.0334,7,person,0.4118,812,364,830,402,821.0,383.0,multiline,none,-1,False
2,0.0667,1,person,0.7893,188,483,226,551,207.0,517.0,multiline,none,-1,False
2,0.0667,2,person,0.7285,483,437,505,491,494.0,464.0,multiline,none,-1,False
2,0.0667,3,person,0.6363,587,407,606,457,596.5,432.0,multiline,none,-1,False
2,0.0667,4,person,0.5383,0,479,22,611,11.0,545.0,multiline,none,-1,False
2,0.0667,5,person,0.5278,633,409,656,456,644.5,432.5,multiline,none,-1,False
2,0.0667,6,person,0.5132,767,383,785,428,776.0,405.5,multiline,none,-1,False
2,0.0667,7,person,0.405,812,364,830,402,821.0,383.0,multiline,none,-1,False
3,0.1001,1,person,0.7626,188,483,226,551,207.0,517.0,multiline,none,-1,False
3,0.1001,2,person,0.7055,484,437,505,491,494.5,464.0,multiline,none,-1,False
3,0.1001,3,person,0.6263,587,407,606,457,596.5,432.0,multiline,none,-1,False
3,0.1001,4,person,0.4408,0,479,21,611,10.5,545.0,multiline,none,-1,False
3,0.1001,5,person,0.457,633,409,656,455,644.5,432.0,multiline,none,-1,False
3,0.1001,6,person,0.5434,767,383,785,428,776.0,405.5,multiline,none,-1,False
3,0.1001,7,person,0.3651,812,364,830,401,821.0,382.5,multiline,none,-1,False
4,0.1335,1,person,0.7552,190,483,228,550,209.0,516.5,multiline,none,-1,False
4,0.1335,2,person,0.657,485,437,506,491,495.5,464.0,multiline,none,-1,False
4,0.1335,3,person,0.6549,587,406,607,457,597.0,431.5,multiline,none,-1,False
4,0.1335,5,person,0.548,634,408,657,455,645.5,431.5,multiline,none,-1,False
4,0.1335,6,person,0.5308,768,383,786,428,777.0,405.5,multiline,none,-1,False
5,0.1669,1,person,0.7485,192,482,230,550,211.0,516.0,multiline,none,-1,False
5,0.1669,2,person,0.7224,487,438,508,491,497.5,464.5,multiline,none,-1,False
5,0.1669,3,person,0.6614,588,406,608,457,598.0,431.5,multiline,none,-1,False
5,0.1669,5,person,0.5619,634,407,657,454,645.5,430.5,multiline,none,-1,False
5,0.1669,6,person,0.4809,769,383,787,428,778.0,405.5,multiline,none,-1,False
6,0.2002,1,person,0.7582,193,482,232,550,212.5,516.0,multiline,none,-1,False
6,0.2002,2,person,0.5883,489,438,511,491,500.0,464.5,multiline,none,-1,False
6,0.2002,3,person,0.6143,590,406,609,457,599.5,431.5,multiline,none,-1,False
6,0.2002,5,person,0.5297,636,407,658,454,647.0,430.5,multiline,none,-1,False
6,0.2002,6,person,0.5819,770,383,789,428,779.5,405.5,multiline,none,-1,False
6,0.2002,9,person,0.391,691,404,710,449,700.5,426.5,multiline,none,-1,False
7,0.2336,1,person,0.787,195,481,233,550,214.0,515.5,multiline,none,-1,False
7,0.2336,2,person,0.6698,492,438,514,491,503.0,464.5,multiline,none,-1,False
7,0.2336,3,person,0.5751,591,406,610,457,600.5,431.5,multiline,none,-1,False
7,0.2336,5,person,0.5626,637,407,660,453,648.5,430.0,multiline,none,-1,False
7,0.2336,6,person,0.5135,771,382,790,428,780.5,405.0,multiline,none,-1,False
7,0.2336,9,person,0.4113,691,403,710,448,700.5,425.5,multiline,none,-1,False
8,0.267,1,person,0.7645,196,481,235,549,215.5,515.0,multiline,none,-1,False
8,0.267,2,person,0.7371,494,438,517,491,505.5,464.5,multiline,none,-1,False
8,0.267,3,person,0.5514,592,406,612,456,602.0,431.0,multiline,none,-1,False
8,0.267,5,person,0.5911,638,407,660,452,649.0,429.5,multiline,none,-1,False
8,0.267,6,person,0.5527,772,382,792,428,782.0,405.0,multiline,none,-1,False
8,0.267,9,person,0.3957,691,402,711,448,701.0,425.0,multiline,none,-1,False
9,0.3003,1,person,0.7432,198,480,236,549,217.0,514.5,multiline,none,-1,False
9,0.3003,2,person,0.7145,494,438,518,491,506.0,464.5,multiline,none,-1,False
9,0.3003,3,person,0.5665,594,405,613,455,603.5,430.0,multiline,none,-1,False
9,0.3003,5,person,0.6445,639,407,661,452,650.0,429.5,multiline,none,-1,False
9,0.3003,6,person,0.537,773,383,792,427,782.5,405.0,multiline,none,-1,False
10,0.3337,1,person,0.7497,200,480,237,548,218.5,514.0,multiline,none,-1,False
10,0.3337,2,person,0.7623,495,438,519,491,507.0,464.5,multiline,none,-1,False
10,0.3337,3,person,0.6413,595,405,615,455,605.0,430.0,multiline,none,-1,False
10,0.3337,5,person,0.661,640,407,663,452,651.5,429.5,multiline,none,-1,False
10,0.3337,6,person,0.5025,774,383,793,427,783.5,405.0,multiline,none,-1,False
10,0.3337,9,person,0.4014,692,402,712,448,702.0,425.0,multiline,none,-1,False
11,0.3671,1,person,0.7429,202,480,238,546,220.0,513.0,multiline,none,-1,False
11,0.3671,2,person,0.751,496,437,521,491,508.5,464.0,multiline,none,-1,False
